,FINESS_O,FINESS_D,O,D,O_lat,O_lon,D_lat,D_lon,ID,id_coord,Results_value_17h,minutes_17h
2527,640780946,920120011,"43.3237674948806,-0.350430204816629","48.8143986458456,2.25568637311088",43.3237674948806,-0.350430204816629,48.8143986458456,2.25568637311088,640780946-920120011,"-0.350430204816629,43.3237674948806-2.25568637311088,48.8143986458456",7:13:00,433
2528,830100574,870000064,"43.1333032961808,5.93227992696555","45.8108795364584,1.23857142808933",43.1333032961808,5.93227992696555,45.8108795364584,1.23857142808933,830100574-870000064,"5.93227992696555,43.1333032961808-1.23857142808933,45.8108795364584",7:13:00,433
2529,510004302,340015502,"49.2315914438182,4.01891775517964","43.6024922940585,3.91428695033118",49.2315914438182,4.01891775517964,43.6024922940585,3.91428695033118,510004302-340015502,"4.01891775517964,49.2315914438182-3.91428695033118,43.6024922940585",7:14:00,434
2530,130780521,510004302,"43.3790936619422,5.36104667410839","49.2315914438182,4.01891775517964",43.3790936619422,5.36104667410839,49.2315914438182,4.01891775517964,130780521-510004302,"5.36104667410839,43.3790936619422-4.01891775517964,49.2315914438182",7:14:00,434
2531,750120016,130780521,"48.8380976694563,2.34424407470017","43.3790936619422,5.36104667410839",48.8380976694563,2.34424407470017,43.3790936619422,5.36104667410839,750120016-130780521,"2.34424407470017,48.8380976694563-5.36104667410839,43.3790936619422",7:14:00,434
2532,940100027,640780946,"48.7987961562809,2.45403659876121","43.3237674948806,-0.350430204816629",48.7987961562809,2.45403659876121,43.3237674948806,-0.350430204816629,940100027-640780946,"2.45403659876121,48.7987961562809--0.350430204816629,43.3237674948806",7:14:00,434
2533,250006954,310783048,"47.2249200833962,5.96476126928613","43.60463651762,1.44421017210879",47.2249200833962,5.96476126928613,43.60463651762,1.44421017210879,250006954-310783048,"5.96476126928613,47.2249200833962-1.44421017210879,43.60463651762",7:14:00,434
2534,340015502,920120011,"43.6024922940585,3.91428695033118","48.8143986458456,2.25568637311088",43.6024922940585,3.91428695033118,48.8143986458456,2.25568637311088,340015502-920120011,"3.91428695033118,43.6024922940585-2.25568637311088,48.8143986458456",7:14:00,434
2535,670783273,300780152,"48.5896720587813,7.70972682843346","43.8471935555551,4.37381111230514",48.5896720587813,7.70972682843346,43.8471935555551,4.37381111230514,670783273-300780152,"7.70972682843346,48.5896720587813-4.37381111230514,43.8471935555551",7:14:00,434
2536,130783293,940100027,"43.2921827109591,5.40210784602733","48.7987961562809,2.45403659876121",43.2921827109591,5.40210784602733,48.7987961562809,2.45403659876121,130783293-940100027,"5.40210784602733,43.2921827109591-2.45403659876121,48.7987961562809",7:15:00,435
